File(s),Variable label,Variable name,Measurement unit,Allowed values,Definition,Description
Visit-info.csv,Hours Worn per Week Range10,Hours worn per week as a range,text,"NA, blank, 0-10, 11-20, 21-30, 31-40, 41-50, 51-60, 61-70, 71-80",,"Experimenter coded interpretation of participant-reported hours worn per week. NA indicates that the participant's response could not be coerced into a range of 10 hours, blank indicates that the participant did not report any value at all."
Visit-info.csv,Percent Time in Study Shoes of Total Time Wearing Shoes,,percentage,"0-20%, 20-40%, 40-60%, 60-80%, 80-100%, NA, blank",,"Participant estimate of the percentage of time wearing the study shoes, out of the total time spent wearing shoes."
Visit-info.csv,Grassy Surfaces,"proportion of time wearing study shoes on grassy surfaces (participant reported)
",text,,,"Participant reported values for the proportion of time wearing the study shoes on grassy surfaces. May include percentages mixed in with proportions.
"
Visit-info.csv,Grassy Surfaces Clean,cleaned up percentage of time wearing shoes on grassy surfaces,numeric,"-50 (indicates binary yes response), 0-100",,"Accounting for all other surface type values, the percentage of time walking across grassy surfaces. "
Visit-info.csv,Indoor Surfaces,proportion of time wearing study shoes on indoor surfaces as recorded by the participant,text,,,"Participant reported values for the proportion of time wearing the study shoes on indoor surfaces. May include percentages mixed in with proportions.
"
Visit-info.csv,Indoor Surfaces Clean,cleaned up percentage of time wearing shoes on indoor surfaces,numeric,"-50 (indicates binary yes response), 0-100",,"Accounting for all other surface type values, the percentage of time walking across indoor surfaces. "
Visit-info.csv,Rocky Surfaces,proportion of time wearing study shoes on rocky surfaces as recorded by the participant,text,,,"Participant reported values for the proportion of time wearing the study shoes on rocky surfaces. May include percentages mixed in with proportions.
"
Visit-info.csv,Rocky Surfaces Clean,cleaned up percentage of time wearing shoes on rocky surfaces,numeric,"-50 (indicates binary yes response), 0-100",,"Accounting for all other surface type values, the percentage of time walking across rocky surfaces. "
Visit-info.csv,Muddy or Other Wet Surfaces,proportion of time wearing study shoes on muddy/wet surfaces as recorded by the participant,text,,,"Participant reported values for the proportion of time wearing the study shoes on muddy/wet surfaces. May include percentages mixed in with proportions.
"
Visit-info.csv,Muddy or Other Wet Surfaces Clean,cleaned up percentage of time wearing shoes on muddy/wet surfaces,numeric,"-50 (indicates binary yes response), 0-100",,"Accounting for all other surface type values, the percentage of time walking across muddy/wet surfaces. "
Visit-info.csv,Pavement Cement or Similar,proportion of time wearing study shoes on pavement/cement surfaces as recorded by the participant,text,,,"Participant reported values for the proportion of time wearing the study shoes on pavement/cement surfaces. May include percentages mixed in with proportions.
"
Visit-info.csv,Pavement Cement or Similar Clean,cleaned up percentage of time wearing shoes on pavement/cement surfaces,numeric,"-50 (indicates binary yes response), 0-100",,"Accounting for all other surface type values, the percentage of time walking across pavement/cement surfaces. "
Visit-info.csv,Sport Activities,number of times each week wearing study shoes while participating in sports,text,,,Participant reported value for the number of times during a particular week using study shoes to practice each activity
Visit-info.csv,Sport Activities Clean,cleaned up percentage of time wearing shoes while participating in sports ,numeric,"-50 (indicates binary yes response), 0-100",,Percentage of total reported activities wearing the study shoes. Cleaned up by experimenters to conform to a reasonable standard.
Visit-info.csv,Walking,,text,,,Participant reported value for the number of times during a particular week using study shoes to practice each activity
Visit-info.csv,Walking Clean,,numeric,"-50 (indicates binary yes response), 0-100",,Percentage of total reported activities wearing the study shoes. Cleaned up by experimenters to conform to a reasonable standard.
Visit-info.csv,Dancing,,text,,,Participant reported value for the number of times during a particular week using study shoes to practice each activity
Visit-info.csv,Dancing Clean,,numeric,"-50 (indicates binary yes response), 0-100",,Percentage of total reported activities wearing the study shoes. Cleaned up by experimenters to conform to a reasonable standard.
Visit-info.csv,Climbing,,text,,,Participant reported value for the number of times during a particular week using study shoes to practice each activity
Visit-info.csv,Climbing Clean,,numeric,"-50 (indicates binary yes response), 0-100",,Percentage of total reported activities wearing the study shoes. Cleaned up by experimenters to conform to a reasonable standard.
Visit-info.csv,Hiking,,text,,,Participant reported value for the number of times during a particular week using study shoes to practice each activity
Visit-info.csv,Hiking Clean,,numeric,"-50 (indicates binary yes response), 0-100",,Percentage of total reported activities wearing the study shoes. Cleaned up by experimenters to conform to a reasonable standard.
Visit-info.csv,Biking,,text,,,Participant reported value for the number of times during a particular week using study shoes to practice each activity
Visit-info.csv,Biking Clean,,numeric,"-50 (indicates binary yes response), 0-100",,Percentage of total reported activities wearing the study shoes. Cleaned up by experimenters to conform to a reasonable standard.
